site_number,period_name,period_id
152,C,6.0
152,HL,7.0
152,R,8.0
152,Byz,14.0
153,LBA,3.0
153,C,6.0
153,HL,7.0
153,R,8.0
154,LBA,3.0
154,C,6.0
154,HL,7.0
154,R,8.0
155,Ch,9.0
155,EBA,1.0
155,MBA,2.0
155,LBA,3.0
155,HL,7.0
155,R,8.0
156,EBA II,23.0
156,LBA,3.0
156,HL,7.0
156,R,8.0
157,Ch,9.0
157,EBA,1.0
157,MBA,2.0
157,LBA,3.0
157,HL,7.0
157,R,8.0
158,LBA,3.0
158,HL,7.0
158,R,8.0
159,EBA,1.0
159,MBA,2.0
159,LBA,3.0
160,LCh,16.0
160,EBA,1.0
160,MBA,2.0
160,LBA,3.0
161,LN,17.0
161,ECh,
161,EBA,1.0
161,MBA,2.0
161,LBA,3.0
162,LN,17.0
162,ECh,
162,EBA,1.0
162,MBA,2.0
162,LBA,3.0
163,LN,17.0
163,ECh,
163,EBA,1.0
163,MBA,2.0
163,LBA,3.0
164,LN,17.0
164,ECh,
164,EBA,1.0
164,MBA,2.0
164,LBA,3.0
164,IA,10.0
165,EBA,1.0
165,MBA,2.0
165,LBA,3.0
165,HL,7.0
165,R,8.0
166,LCh,16.0
166,EBA,1.0
166,MBA,2.0
166,LBA,3.0
167,EBA,1.0
167,MBA,2.0
167,LBA,3.0
168,EBA,1.0
168,MBA,2.0
168,LBA,3.0
168,HL,7.0
168,R,8.0
169,Ch,9.0
169,EBA,1.0
169,MBA,2.0
169,LBA,3.0
170,LBA,3.0
171,EBA,1.0
171,MBA,2.0
171,LBA,3.0
171,HL,7.0
172,LBA,3.0
172,HL,7.0
172,R,8.0
172,Byz,14.0
173,LBA,3.0
173,C,6.0
173,HL,7.0
173,R,8.0
174,EBA,1.0
174,MBA,2.0
174,LBA,3.0
175,EBA,1.0
175,MBA,2.0
175,LBA,3.0
176,Ch,9.0
176,EBA,1.0
176,MBA,2.0
176,LBA,3.0
177,EBA 1-2,
177,MBA,2.0
177,HL,7.0
177,R,8.0
177,Byz,14.0
178,LCh,16.0
178,EBA,1.0
178,MBA,2.0
179,LCh,16.0
179,EBA,1.0
179,MBA,2.0
179,LBA,3.0
180,LCh,16.0
180,EBA,1.0
180,MBA,2.0
180,LBA,3.0
181,EBA,1.0
181,MBA,2.0
181,LBA,3.0
182,LN,17.0
182,Ch,9.0
182,EBA,1.0
182,MBA,2.0
182,LBA,3.0
183,Ch,9.0
183,EBA,1.0
183,MBA,2.0
183,LBA,3.0
183,C,6.0
184,EBA,1.0
184,MBA,2.0
184,LBA,3.0
184,R,8.0
184,Byz,14.0
185,EBA,1.0
185,MBA,2.0
185,LBA,3.0
185,R,8.0
186,Ch,9.0
186,EBA,1.0
186,LBA,3.0
186,R,8.0
186,Byz,14.0
187,EBA,1.0
187,LBA,3.0
187,R,8.0
188,LBA,3.0
188,IA,10.0
188,A,11.0
188,C,6.0
188,HL,7.0
188,R,8.0
189,EBA,1.0
189,MBA,2.0
189,LBA,3.0
190,LCh,16.0
190,EBA,1.0
190,MBA,2.0
190,LBA,3.0
190,HL,7.0
190,R,8.0
190,Byz,14.0
191,EBA,1.0
191,MBA,2.0
191,LBA,3.0
192,EBA,1.0
192,MBA,2.0
192,LBA,3.0
193,EBA 2-3,
193,MBA,2.0
193,LBA,3.0
194,EBA,1.0
194,MBA,2.0
194,LBA,3.0
195,EBA 2-3,
195,MBA,2.0
195,LBA,3.0
196,Ch,9.0
196,EBA,1.0
196,MBA,2.0
196,LBA,3.0
197,EBA 2-3,
197,MBA,2.0
